# Component Catalog

| Component Name       | Description                                                                                                                                                                                                                                           |
|----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| **LoginButton**      | A reusable button component for login forms. It accepts `type`, `text`, and optional `className` props to customize its behavior and appearance.                                                                                                      |
| **MoonIcon**         | A functional component that renders an SVG icon representing the moon, typically used as part of a theme switcher for dark mode.                                                                                                                     |
| **Popup**            | A modal component that displays a message and a close button. It takes `message` and `onClose` props to customize the displayed message and handle closure actions.                                                                                  |
| **RefreshButton**    | A button component that triggers a refresh action. It shows a popup notification when clicked, indicating that the refresh functionality is not yet implemented.                                                                                       |
| **SharkTankControls** | A control panel component that includes buttons for refreshing data, dialing selected leads, and dialing a list of leads. It accepts callback functions for each action as props.                                                                        |
| **SideBar**          | A sidebar navigation component that allows users to navigate between different pages of the application. It includes buttons for navigating to Home, Pipeline, Shark Tank, and Lookup Tool pages.                                                       |
| **SunIcon**          | A functional component that renders an SVG icon representing the sun, typically used as part of a theme switcher for light mode.                                                                                                                    |
| **ThemeSwitcher**     | A component that allows users to toggle between light and dark themes. It uses the `SunIcon` and `MoonIcon` components to represent the current theme visually.                                                                                         |
| **TitleBar**         | The title bar of the application, which includes the theme switcher. It provides a consistent header across all pages.                                                                                                                                 |
| **Chart1**           | A chart component that displays content specific to Chart 1. Currently, it renders a logo image and can be extended to include additional chart data.                                                                                                   |
| **Chart2**           | A chart component that displays content specific to Chart 2. It currently contains placeholder content and can be extended for actual chart data.                                                                                                        |
| **Chart3**           | A chart component that displays content specific to Chart 3. Similar to Chart 2, it contains placeholder content and can be extended for actual chart data.                                                                                             |
| **Chart4**           | A chart component that displays content specific to Chart 4. It currently contains placeholder content and can be extended for actual chart data.                                                                                                        |
| **DialListButton**    | A button component that triggers a dialing action for a list of leads. It shows a popup notification when clicked, indicating that the functionality is not yet implemented.                                                                              |
| **DialSelectedButton** | A button component that triggers a dialing action for selected leads. Similar to `DialListButton`, it shows a popup notification when clicked.                                                                                                          |
| **DynamicTable**     | A component that renders a dynamic table using the `react-table` library. It supports filtering, sorting, and resizing of columns, and can handle row click events.                                                                                     |
| **ErrorMessage**     | A simple component that displays an error message. It takes a `message` prop to customize the displayed text and an optional `className` for styling.                                                                                                   |
| **FilterDialog**     | A dialog component that allows users to apply filters to table columns. It appears when a column header is clicked and provides an input field to set filter values.                                                                                      |
| **InputField**       | A reusable input field component for forms. It accepts props for `type`, `id`, `placeholder`, `value`, `onChange`, and optional `required` and `className` attributes.                                                                                 |
| **Layout**           | The main layout component that structures the application. It includes the sidebar and title bar, and uses the `Outlet` component from React Router to render nested routes.                                                                             |
| **LoadingIndicator** | A simple loading spinner component that indicates to users that data is being fetched or processed.                                                                                                                                                   |
| **LoginBox**         | A component that encapsulates the login form, including input fields for username and password, a submit button, and an error message display. It handles form submission through the `handleLogin` prop.                                              |
